iter	Passed	Remaining
0	137	137494
1	142	71133
2	148	49242
3	153	38120
4	158	31480
5	162	26983
6	167	23744
7	171	21281
8	176	19472
9	181	17963
10	186	16761
11	191	15758
12	197	14983
13	202	14247
14	207	13596
15	211	13008
16	216	12508
17	221	12084
18	226	11689
19	230	11314
20	235	10988
21	241	10746
22	246	10473
23	251	10214
24	254	9917
25	257	9655
26	260	9387
27	264	9165
28	266	8937
29	270	8732
30	273	8552
31	276	8362
32	279	8196
33	282	8027
34	285	7883
35	289	7750
36	292	7612
37	295	7492
38	299	7372
39	302	7264
40	305	7151
41	309	7054
42	312	6950
43	315	6863
44	319	6777
45	323	6717
46	326	6628
47	331	6566
48	333	6477
49	335	6379
50	338	6306
51	340	6210
52	342	6120
53	345	6048
54	347	5964
55	348	5881
56	350	5798
57	352	5730
58	354	5655
59	356	5578
60	357	5505
61	359	5441
62	361	5373
63	362	5307
64	364	5244
65	366	5187
66	368	5128
67	369	5059
68	370	5002
69	372	4948
70	374	4899
71	376	4850
72	377	4799
73	379	4747
74	381	4700
75	383	4657
76	385	4617
77	386	4574
78	389	4541
79	391	4497
80	392	4457
81	394	4419
82	396	4383
83	398	4343
84	399	4302
85	401	4265
86	402	4222
87	404	4192
88	406	4157
89	407	4121
90	409	4086
91	410	4053
92	413	4028
93	414	3998
94	416	3967
95	419	3951
96	421	3922
97	422	3891
98	424	3861
99	426	3838
100	428	3810
101	429	3777
102	430	3749
103	432	3725
104	434	3702
105	435	3675
106	437	3649
107	438	3623
108	440	3600
109	442	3580
110	443	3555
111	445	3530
112	446	3506
113	448	3484
114	450	3463
115	451	3440
116	453	3419
117	454	3398
118	456	3380
119	458	3359
120	459	3338
121	461	3319
122	462	3294
123	464	3281
124	465	3261
125	467	3243
126	469	3224
127	470	3205
128	472	3190
129	473	3171
130	475	3154
131	477	3138
132	479	3124
133	480	3106
134	482	3091
135	483	3074
136	487	3068
137	488	3050
138	489	3034
139	491	3018
140	493	3004
141	494	2990
142	496	2974
143	497	2959
144	499	2944
145	501	2934
146	503	2919
147	504	2904
148	506	2891
149	508	2879
150	510	2867
151	511	2853
152	513	2840
153	515	2832
154	517	2821
155	518	2807
156	520	2793
157	521	2780
158	523	2769
159	525	2757
160	526	2745
161	528	2732
162	530	2723
163	532	2713
164	533	2702
165	535	2690
166	537	2679
167	539	2670
168	540	2658
169	542	2647
170	543	2635
171	545	2627
172	547	2616
173	548	2605
174	550	2594
175	552	2584
176	554	2576
177	555	2565
178	557	2555
179	558	2544
180	559	2530
181	561	2522
182	563	2513
183	564	2503
184	565	2493
185	567	2484
186	569	2475
187	570	2465
188	572	2456
189	573	2446
190	575	2439
191	577	2429
192	578	2420
193	580	2411
194	582	2405
195	584	2397
196	586	2388
197	587	2379
198	589	2373
199	591	2367
200	593	2357
201	594	2348
202	596	2341
203	598	2334
204	599	2326
205	601	2317
206	602	2309
207	604	2301
208	606	2295
209	607	2286
210	609	2278
211	610	2270
212	612	2264
213	614	2257
214	616	2249
215	617	2241
216	618	2233
217	621	2227
218	622	2219
219	623	2211
220	625	2203
221	627	2198
222	629	2191
223	630	2184
224	632	2176
225	633	2170
226	636	2165
227	637	2158
228	638	2150
229	640	2143
230	641	2136
231	643	2131
232	645	2124
233	646	2117
234	648	2109
235	650	2104
236	651	2098
237	653	2090
238	654	2083
239	656	2079
240	658	2073
241	659	2067
242	661	2060
243	662	2053
244	665	2049
245	666	2043
246	668	2036
247	669	2030
248	671	2024
249	673	2020
250	674	2013
251	676	2007
252	677	2001
253	679	1996
254	681	1992
255	683	1986
256	684	1980
257	686	1974
258	688	1970
259	690	1964
260	691	1958
261	693	1952
262	695	1948
263	696	1942
264	698	1937
265	700	1931
266	702	1929
267	704	1924
268	706	1918
269	707	1912
270	709	1908
